account_id,account_number,account_name,industry_type,state_code,account_status,created_date,updated_timestamp
1,ACC100001,Commercial Account 0001,Retail,CA,ACTIVE,2021-01-02,2021-01-03 09:00:00
2,ACC100002,Commercial Account 0002,Construction,TX,ACTIVE,2021-01-03,2021-01-05 09:00:00
3,ACC100003,Commercial Account 0003,Manufacturing,FL,ACTIVE,2021-01-04,2021-01-07 09:00:00
4,ACC100004,Commercial Account 0004,Technology,NY,ACTIVE,2021-01-05,2021-01-09 09:00:00
5,ACC100005,Commercial Account 0005,Transportation,IL,ACTIVE,2021-01-06,2021-01-11 09:00:00
6,ACC100006,Commercial Account 0006,Healthcare,CA,ACTIVE,2021-01-07,2021-01-13 09:00:00
7,ACC100007,Commercial Account 0007,Hospitality,TX,ACTIVE,2021-01-08,2021-01-15 09:00:00
8,ACC100008,Commercial Account 0008,Retail,FL,ACTIVE,2021-01-09,2021-01-17 09:00:00
9,ACC100009,Commercial Account 0009,Construction,NY,ACTIVE,2021-01-10,2021-01-19 09:00:00
10,ACC100010,Commercial Account 0010,Manufacturing,IL,INACTIVE,2021-01-11,2021-01-21 09:00:00
11,ACC100011,Commercial Account 0011,Technology,CA,ACTIVE,2021-01-12,2021-01-23 09:00:00
12,ACC100012,Commercial Account 0012,Transportation,TX,ACTIVE,2021-01-13,2021-01-25 09:00:00
13,ACC100013,Commercial Account 0013,Healthcare,FL,ACTIVE,2021-01-14,2021-01-27 09:00:00
14,ACC100014,Commercial Account 0014,Hospitality,NY,ACTIVE,2021-01-15,2021-01-29 09:00:00
15,ACC100015,Commercial Account 0015,Retail,IL,ACTIVE,2021-01-16,2021-01-31 09:00:00
16,ACC100016,Commercial Account 0016,Construction,CA,ACTIVE,2021-01-17,2021-02-02 09:00:00
17,ACC100017,Commercial Account 0017,Manufacturing,TX,ACTIVE,2021-01-18,2021-02-04 09:00:00
18,ACC100018,Commercial Account 0018,Technology,FL,ACTIVE,2021-01-19,2021-02-06 09:00:00
19,ACC100019,Commercial Account 0019,Transportation,NY,ACTIVE,2021-01-20,2021-02-08 09:00:00
20,ACC100020,Commercial Account 0020,Healthcare,IL,CLOSED,2021-01-21,2021-02-10 09:00:00
21,ACC100021,Commercial Account 0021,Hospitality,CA,ACTIVE,2021-01-22,2021-02-12 09:00:00
22,ACC100022,Commercial Account 0022,Retail,TX,ACTIVE,2021-01-23,2021-02-14 09:00:00
23,ACC100023,Commercial Account 0023,Construction,FL,ACTIVE,2021-01-24,2021-02-16 09:00:00
24,ACC100024,Commercial Account 0024,Manufacturing,NY,ACTIVE,2021-01-25,2021-02-18 09:00:00
25,ACC100025,Commercial Account 0025,Technology,IL,ACTIVE,2021-01-26,2021-02-20 09:00:00
26,ACC100026,Commercial Account 0026,Transportation,CA,ACTIVE,2021-01-27,2021-02-22 09:00:00
27,ACC100027,Commercial Account 0027,Healthcare,TX,ACTIVE,2021-01-28,2021-02-24 09:00:00
28,ACC100028,Commercial Account 0028,Hospitality,FL,ACTIVE,2021-01-29,2021-02-26 09:00:00
29,ACC100029,Commercial Account 0029,Retail,NY,ACTIVE,2021-01-30,2021-02-28 09:00:00
30,ACC100030,Commercial Account 0030,Construction,IL,INACTIVE,2021-01-31,2021-01-31 09:00:00
31,ACC100031,Commercial Account 0031,Manufacturing,CA,ACTIVE,2021-02-01,2021-02-02 09:00:00
32,ACC100032,Commercial Account 0032,Technology,TX,ACTIVE,2021-02-02,2021-02-04 09:00:00
33,ACC100033,Commercial Account 0033,Transportation,FL,ACTIVE,2021-02-03,2021-02-06 09:00:00
34,ACC100034,Commercial Account 0034,Healthcare,NY,ACTIVE,2021-02-04,2021-02-08 09:00:00
35,ACC100035,Commercial Account 0035,Hospitality,IL,ACTIVE,2021-02-05,2021-02-10 09:00:00
36,ACC100036,Commercial Account 0036,Retail,CA,ACTIVE,2021-02-06,2021-02-12 09:00:00
37,ACC100037,Commercial Account 0037,Construction,TX,ACTIVE,2021-02-07,2021-02-14 09:00:00
38,ACC100038,Commercial Account 0038,Manufacturing,FL,ACTIVE,2021-02-08,2021-02-16 09:00:00
39,ACC100039,Commercial Account 0039,Technology,NY,ACTIVE,2021-02-09,2021-02-18 09:00:00
40,ACC100040,Commercial Account 0040,Transportation,IL,CLOSED,2021-02-10,2021-02-20 09:00:00
41,ACC100041,Commercial Account 0041,Healthcare,CA,ACTIVE,2021-02-11,2021-02-22 09:00:00
42,ACC100042,Commercial Account 0042,Hospitality,TX,ACTIVE,2021-02-12,2021-02-24 09:00:00
43,ACC100043,Commercial Account 0043,Retail,FL,ACTIVE,2021-02-13,2021-02-26 09:00:00
44,ACC100044,Commercial Account 0044,Construction,NY,ACTIVE,2021-02-14,2021-02-28 09:00:00
45,ACC100045,Commercial Account 0045,Manufacturing,IL,ACTIVE,2021-02-15,2021-03-02 09:00:00
46,ACC100046,Commercial Account 0046,Technology,CA,ACTIVE,2021-02-16,2021-03-04 09:00:00
47,ACC100047,Commercial Account 0047,Transportation,TX,ACTIVE,2021-02-17,2021-03-06 09:00:00
48,ACC100048,Commercial Account 0048,Healthcare,FL,ACTIVE,2021-02-18,2021-03-08 09:00:00
49,ACC100049,Commercial Account 0049,Hospitality,NY,ACTIVE,2021-02-19,2021-03-10 09:00:00
50,ACC100050,Commercial Account 0050,Retail,IL,INACTIVE,2021-02-20,2021-03-12 09:00:00
51,ACC100051,Commercial Account 0051,Construction,CA,ACTIVE,2021-02-21,2021-03-14 09:00:00
52,ACC100052,Commercial Account 0052,Manufacturing,TX,ACTIVE,2021-02-22,2021-03-16 09:00:00
53,ACC100053,Commercial Account 0053,Technology,FL,ACTIVE,2021-02-23,2021-03-18 09:00:00
54,ACC100054,Commercial Account 0054,Transportation,NY,ACTIVE,2021-02-24,2021-03-20 09:00:00
55,ACC100055,Commercial Account 0055,Healthcare,IL,ACTIVE,2021-02-25,2021-03-22 09:00:00
56,ACC100056,Commercial Account 0056,Hospitality,CA,ACTIVE,2021-02-26,2021-03-24 09:00:00
57,ACC100057,Commercial Account 0057,Retail,TX,ACTIVE,2021-02-27,2021-03-26 09:00:00
58,ACC100058,Commercial Account 0058,Construction,FL,ACTIVE,2021-02-28,2021-03-28 09:00:00
59,ACC100059,Commercial Account 0059,Manufacturing,NY,ACTIVE,2021-03-01,2021-03-30 09:00:00
60,ACC100060,Commercial Account 0060,Technology,IL,CLOSED,2021-03-02,2021-03-02 09:00:00
61,ACC100061,Commercial Account 0061,Transportation,CA,ACTIVE,2021-03-03,2021-03-04 09:00:00
62,ACC100062,Commercial Account 0062,Healthcare,TX,ACTIVE,2021-03-04,2021-03-06 09:00:00
63,ACC100063,Commercial Account 0063,Hospitality,FL,ACTIVE,2021-03-05,2021-03-08 09:00:00
64,ACC100064,Commercial Account 0064,Retail,NY,ACTIVE,2021-03-06,2021-03-10 09:00:00
65,ACC100065,Commercial Account 0065,Construction,IL,ACTIVE,2021-03-07,2021-03-12 09:00:00
66,ACC100066,Commercial Account 0066,Manufacturing,CA,ACTIVE,2021-03-08,2021-03-14 09:00:00
67,ACC100067,Commercial Account 0067,Technology,TX,ACTIVE,2021-03-09,2021-03-16 09:00:00
68,ACC100068,Commercial Account 0068,Transportation,FL,ACTIVE,2021-03-10,2021-03-18 09:00:00
