claim_id,policy_id,claim_number,claim_date,claim_status,claim_type,paid_amount,reserve_amount,recovery_amount,incurred_amount,loss_date,reported_date
1,1,CLM0000001,2022-01-02,OPEN,Collision,9591.4,1112.76,1375.15,9329.01,2021-12-26,2022-01-03
2,2,CLM0000002,2022-01-03,UNDER_REVIEW,Fire,11047.07,17079.14,4460.9,23665.31,2022-01-01,2022-01-07
3,3,CLM0000003,2022-01-04,APPROVED,Flood,6328.83,1230.03,1093.19,6465.67,2022-01-04,2022-01-08
4,4,CLM0000004,2022-01-05,REJECTED,Theft,2982.56,16422.17,2724.71,16680.02,2021-12-29,2022-01-08
5,5,CLM0000005,2022-01-06,CLOSED,Liability,8838.99,20331.05,32.49,29137.55,2022-01-01,2022-01-11
6,6,CLM0000006,2022-01-07,OPEN,Glass,6339.22,7307.85,1076.57,12570.5,2021-12-28,2022-01-07
7,7,CLM0000007,2022-01-08,UNDER_REVIEW,Windstorm,1391.19,2869.55,4237.47,23.27,2021-12-31,2022-01-08
8,8,CLM0000008,2022-01-09,APPROVED,Collision,10945.98,13637.59,4865.58,19717.99,2021-12-28,2022-01-09
9,9,CLM0000009,2022-01-10,REJECTED,Fire,8280.61,20820.41,3092.6,26008.42,2021-12-30,2022-01-14
10,10,CLM0000010,2022-01-11,CLOSED,Flood,2884.33,2204.1,3306.32,1782.11,2022-01-02,2022-01-11
11,11,CLM0000011,2022-01-12,OPEN,Theft,12829.77,21728.85,1900.63,32657.99,2021-12-29,2022-01-17
12,12,CLM0000012,2022-01-13,UNDER_REVIEW,Liability,12511.66,4485.03,1776.35,15220.34,2022-01-05,2022-01-18
13,13,CLM0000013,2022-01-14,APPROVED,Glass,14049.82,16376.87,3045.66,27381.03,2022-01-09,2022-01-18
14,14,CLM0000014,2022-01-15,REJECTED,Windstorm,10936.9,4503.36,1897.28,13542.98,2022-01-08,2022-01-20
15,15,CLM0000015,2022-01-16,CLOSED,Collision,4864.24,19323.68,279.69,23908.23,2022-01-15,2022-01-18
16,16,CLM0000016,2022-01-17,OPEN,Fire,6017.47,2121.62,4565.68,3573.41,2022-01-07,2022-01-18
17,17,CLM0000017,2022-01-18,UNDER_REVIEW,Flood,9831.58,10192.98,4572.74,15451.82,2022-01-04,2022-01-19
18,18,CLM0000018,2022-01-19,APPROVED,Theft,3973.2,6542.37,2806.84,7708.73,2022-01-11,2022-01-24
19,19,CLM0000019,2022-01-20,REJECTED,Liability,8768.79,22496.66,1997.0,29268.45,2022-01-13,2022-01-21
20,20,CLM0000020,2022-01-21,CLOSED,Glass,7642.89,2727.28,235.58,10134.59,2022-01-18,2022-01-22
21,21,CLM0000021,2022-01-22,OPEN,Windstorm,9411.69,19905.94,2110.8,27206.83,2022-01-20,2022-01-25
22,22,CLM0000022,2022-01-23,UNDER_REVIEW,Collision,5724.29,24904.97,2645.57,27983.69,2022-01-23,2022-01-28
23,23,CLM0000023,2022-01-24,APPROVED,Fire,10810.83,17201.9,2684.85,25327.88,2022-01-16,2022-01-29
24,24,CLM0000024,2022-01-25,REJECTED,Flood,5102.63,7690.75,790.79,12002.59,2022-01-25,2022-01-30
25,25,CLM0000025,2022-01-26,CLOSED,Theft,13137.79,6953.03,2502.93,17587.89,2022-01-21,2022-01-30
