coverage_id,policy_period_id,coverage_code,coverage_name,limit_amount,deductible_amount,coverage_start_date,coverage_end_date,coverage_status
1,1,CVG001,Comprehensive,6430325.3,39388.85,2022-01-02,2023-01-02,ACTIVE
2,2,CVG002,Collision,2822790.25,42467.42,2022-01-03,2023-01-03,EXPIRED
3,3,CVG003,Third Party Liability,7391065.02,262024.17,2022-01-04,2023-01-04,CANCELLED
4,4,CVG004,Fire,8932577.72,79609.34,2022-01-05,2023-01-05,SUSPENDED
5,5,CVG005,Flood,4277026.01,27120.09,2022-01-06,2023-01-06,ACTIVE
6,6,CVG006,Theft,2264515.95,62819.91,2022-01-07,2023-01-07,EXPIRED
7,7,CVG007,Personal Accident,362706.1,5058.91,2022-01-08,2023-01-08,CANCELLED
8,8,CVG008,Glass Protection,6533855.93,192894.89,2022-01-09,2023-01-09,SUSPENDED
9,9,CVG009,Natural Disaster,2282362.16,71933.11,2022-01-10,2023-01-10,ACTIVE
10,10,CVG010,Business Interruption,8113361.52,42939.51,2022-01-11,2023-01-11,EXPIRED
11,11,CVG011,Comprehensive,8077610.59,294156.47,2022-01-12,2023-01-12,CANCELLED
12,12,CVG012,Collision,3468480.11,41609.89,2022-01-13,2023-01-13,SUSPENDED
13,13,CVG013,Third Party Liability,9576409.41,192933.57,2022-01-14,2023-01-14,ACTIVE
14,14,CVG014,Fire,1018183.85,9522.3,2022-01-15,2023-01-15,EXPIRED
15,15,CVG015,Flood,8490194.23,273109.78,2022-01-16,2023-01-16,CANCELLED
16,16,CVG016,Theft,8090569.91,306130.42,2022-01-17,2023-01-17,SUSPENDED
17,17,CVG017,Personal Accident,5408658.11,263889.56,2022-01-18,2023-01-18,ACTIVE
18,18,CVG018,Glass Protection,3847490.33,114816.15,2022-01-19,2023-01-19,EXPIRED
19,19,CVG019,Natural Disaster,8311106.18,272881.78,2022-01-20,2023-01-20,CANCELLED
20,20,CVG020,Business Interruption,8630898.31,267392.54,2022-01-21,2023-01-21,SUSPENDED
21,21,CVG021,Comprehensive,7075261.18,49966.18,2022-01-22,2023-01-22,ACTIVE
22,22,CVG022,Collision,2356192.93,42464.39,2022-01-23,2023-01-23,EXPIRED
23,23,CVG023,Third Party Liability,889940.57,13772.36,2022-01-24,2023-01-24,CANCELLED
24,24,CVG024,Fire,1099914.15,19258.19,2022-01-25,2023-01-25,SUSPENDED
25,25,CVG025,Flood,6393276.0,136927.66,2022-01-26,2023-01-26,ACTIVE
26,26,CVG026,Theft,3764791.57,54317.72,2022-01-27,2023-01-27,EXPIRED
27,27,CVG027,Personal Accident,2743080.44,129334.75,2022-01-28,2023-01-28,CANCELLED
28,28,CVG028,Glass Protection,6515550.31,211174.82,2022-01-29,2023-01-29,SUSPENDED
29,29,CVG029,Natural Disaster,1794272.62,67842.71,2022-01-30,2023-01-30,ACTIVE
30,30,CVG030,Business Interruption,1717684.69,37918.74,2022-01-31,2023-01-31,EXPIRED
31,31,CVG031,Comprehensive,9896281.17,334494.2,2022-02-01,2023-02-01,CANCELLED
32,32,CVG032,Collision,5613802.46,201017.02,2022-02-02,2023-02-02,SUSPENDED
33,33,CVG033,Third Party Liability,8444234.01,337093.79,2022-02-03,2023-02-03,ACTIVE
34,34,CVG034,Fire,2367575.91,15257.87,2022-02-04,2023-02-04,EXPIRED
35,35,CVG035,Flood,3222985.18,54946.55,2022-02-05,2023-02-05,CANCELLED
36,36,CVG036,Theft,2188730.15,103813.52,2022-02-06,2023-02-06,SUSPENDED
37,37,CVG037,Personal Accident,8776039.5,168153.35,2022-02-07,2023-02-07,ACTIVE
38,38,CVG038,Glass Protection,6588842.79,150248.25,2022-02-08,2023-02-08,EXPIRED
39,39,CVG039,Natural Disaster,9154021.14,234785.39,2022-02-09,2023-02-09,CANCELLED
40,40,CVG040,Business Interruption,2722313.65,43824.45,2022-02-10,2023-02-10,SUSPENDED
41,41,CVG041,Comprehensive,5657544.53,95178.98,2022-02-11,2023-02-11,ACTIVE
42,42,CVG042,Collision,5887401.3,267299.97,2022-02-12,2023-02-12,EXPIRED
43,43,CVG043,Third Party Liability,4054065.0,60281.65,2022-02-13,2023-02-13,CANCELLED
44,44,CVG044,Fire,9975622.3,278606.0,2022-02-14,2023-02-14,SUSPENDED
45,45,CVG045,Flood,1000003.18,7120.26,2022-02-15,2023-02-15,ACTIVE
46,46,CVG046,Theft,1185526.39,39401.05,2022-02-16,2023-02-16,EXPIRED
47,47,CVG047,Personal Accident,7941585.71,190575.81,2022-02-17,2023-02-17,CANCELLED
48,48,CVG048,Glass Protection,728924.29,16162.34,2022-02-18,2023-02-18,SUSPENDED
49,49,CVG049,Natural Disaster,9961601.66,286995.19,2022-02-19,2023-02-19,ACTIVE
50,50,CVG050,Business Interruption,9713675.94,424828.46,2022-02-20,2023-02-20,EXPIRED
51,51,CVG051,Comprehensive,213662.12,7997.9,2022-02-21,2023-02-21,CANCELLED
52,52,CVG052,Collision,6848932.65,199739.98,2022-02-22,2023-02-22,SUSPENDED
53,53,CVG053,Third Party Liability,2741569.38,92783.7,2022-02-23,2023-02-23,ACTIVE
54,54,CVG054,Fire,1204366.52,29584.58,2022-02-24,2023-02-24,EXPIRED
55,55,CVG055,Flood,4591864.69,220050.04,2022-02-25,2023-02-25,CANCELLED
56,56,CVG056,Theft,8770944.11,147812.4,2022-02-26,2023-02-26,SUSPENDED
57,57,CVG057,Personal Accident,5055802.52,65924.3,2022-02-27,2023-02-27,ACTIVE
58,58,CVG058,Glass Protection,9135015.61,403524.11,2022-02-28,2023-02-28,EXPIRED
59,59,CVG059,Natural Disaster,3054603.44,103101.2,2022-03-01,2023-03-01,CANCELLED
60,60,CVG060,Business Interruption,6128805.09,72796.52,2022-03-02,2023-03-02,SUSPENDED
61,61,CVG061,Comprehensive,7648856.92,223897.77,2022-03-03,2023-03-03,ACTIVE
62,62,CVG062,Collision,7808402.14,225396.67,2022-03-04,2023-03-04,EXPIRED
63,63,CVG063,Third Party Liability,105661.77,2069.6,2022-03-05,2023-03-05,CANCELLED
64,64,CVG064,Fire,292819.75,13706.73,2022-03-06,2023-03-06,SUSPENDED
65,65,CVG065,Flood,8799346.59,373311.83,2022-03-07,2023-03-07,ACTIVE
66,66,CVG066,Theft,3144389.84,23918.22,2022-03-08,2023-03-08,EXPIRED
67,67,CVG067,Personal Accident,8792295.03,418625.13,2022-03-09,2023-03-09,CANCELLED
68,68,CVG068,Glass Protection,947969.18,25471.53,2022-03-10,2023-03-10,SUSPENDED
69,69,CVG069,Natural Disaster,785203.93,30801.27,2022-03-11,2023-03-11,ACTIVE
70,70,CVG070,Business Interruption,7681760.85,82791.07,2022-03-12,2023-03-12,EXPIRED
71,71,CVG071,Comprehensive,4805295.54,142915.07,2022-03-13,2023-03-13,CANCELLED
72,72,CVG072,Collision,2724060.63,120565.53,2022-03-14,2023-03-14,SUSPENDED
