job_id,policy_id,job_type,job_date,created_ts,job_number,job_status,submission_date,effective_date,expiration_date
1,1,New Business,2022-01-02,2022-01-02 09:00:00,JOB000001,PENDING,2021-12-23,2022-01-05,2023-01-05
2,2,Renewal,2022-01-03,2022-01-03 09:00:00,JOB000002,IN_PROGRESS,2022-01-03,2022-01-11,2023-01-11
3,3,Endorsement,2022-01-04,2022-01-04 09:00:00,JOB000003,COMPLETED,2022-01-01,2022-01-11,2023-01-11
4,4,Cancellation,2022-01-05,2022-01-05 09:00:00,JOB000004,CANCELLED,2022-01-03,2022-01-08,2023-01-08
5,5,Reinstatement,2022-01-06,2022-01-06 09:00:00,JOB000005,PENDING,2021-12-27,2022-01-08,2023-01-08
6,6,New Business,2022-01-07,2022-01-07 09:00:00,JOB000006,IN_PROGRESS,2021-12-29,2022-01-20,2023-01-20
7,7,Renewal,2022-01-08,2022-01-08 09:00:00,JOB000007,COMPLETED,2022-01-08,2022-01-08,2023-01-08
8,8,Endorsement,2022-01-09,2022-01-09 09:00:00,JOB000008,CANCELLED,2022-01-08,2022-01-15,2023-01-15
9,9,Cancellation,2022-01-10,2022-01-10 09:00:00,JOB000009,PENDING,2022-01-07,2022-01-10,2023-01-10
10,10,Reinstatement,2022-01-11,2022-01-11 09:00:00,JOB000010,IN_PROGRESS,2022-01-03,2022-01-17,2023-01-17
11,11,New Business,2022-01-12,2022-01-12 09:00:00,JOB000011,COMPLETED,2022-01-02,2022-01-25,2023-01-25
12,12,Renewal,2022-01-13,2022-01-13 09:00:00,JOB000012,CANCELLED,2022-01-10,2022-01-27,2023-01-27
13,13,Endorsement,2022-01-14,2022-01-14 09:00:00,JOB000013,PENDING,2022-01-05,2022-01-22,2023-01-22
14,14,Cancellation,2022-01-15,2022-01-15 09:00:00,JOB000014,IN_PROGRESS,2022-01-15,2022-01-20,2023-01-20
15,15,Reinstatement,2022-01-16,2022-01-16 09:00:00,JOB000015,COMPLETED,2022-01-10,2022-01-26,2023-01-26
16,16,New Business,2022-01-17,2022-01-17 09:00:00,JOB000016,CANCELLED,2022-01-13,2022-01-21,2023-01-21
17,17,Renewal,2022-01-18,2022-01-18 09:00:00,JOB000017,PENDING,2022-01-15,2022-01-28,2023-01-28
18,18,Endorsement,2022-01-19,2022-01-19 09:00:00,JOB000018,IN_PROGRESS,2022-01-18,2022-01-21,2023-01-21
19,19,Cancellation,2022-01-20,2022-01-20 09:00:00,JOB000019,COMPLETED,2022-01-14,2022-01-23,2023-01-23
20,20,Reinstatement,2022-01-21,2022-01-21 09:00:00,JOB000020,CANCELLED,2022-01-16,2022-02-01,2023-02-01
21,21,New Business,2022-01-22,2022-01-22 09:00:00,JOB000021,PENDING,2022-01-13,2022-01-30,2023-01-30
22,22,Renewal,2022-01-23,2022-01-23 09:00:00,JOB000022,IN_PROGRESS,2022-01-23,2022-02-06,2023-02-06
23,23,Endorsement,2022-01-24,2022-01-24 09:00:00,JOB000023,COMPLETED,2022-01-16,2022-01-27,2023-01-27
24,24,Cancellation,2022-01-25,2022-01-25 09:00:00,JOB000024,CANCELLED,2022-01-19,2022-01-27,2023-01-27
25,25,Reinstatement,2022-01-26,2022-01-26 09:00:00,JOB000025,PENDING,2022-01-18,2022-02-04,2023-02-04
26,26,New Business,2022-01-27,2022-01-27 09:00:00,JOB000026,IN_PROGRESS,2022-01-17,2022-02-07,2023-02-07
27,27,Renewal,2022-01-28,2022-01-28 09:00:00,JOB000027,COMPLETED,2022-01-19,2022-02-03,2023-02-03
28,28,Endorsement,2022-01-29,2022-01-29 09:00:00,JOB000028,CANCELLED,2022-01-28,2022-01-30,2023-01-30
29,29,Cancellation,2022-01-30,2022-01-30 09:00:00,JOB000029,PENDING,2022-01-20,2022-02-06,2023-02-06
30,30,Reinstatement,2022-01-31,2022-01-31 09:00:00,JOB000030,IN_PROGRESS,2022-01-27,2022-02-02,2023-02-02
31,31,New Business,2022-02-01,2022-02-01 09:00:00,JOB000031,COMPLETED,2022-01-29,2022-02-04,2023-02-04
32,32,Renewal,2022-02-02,2022-02-02 09:00:00,JOB000032,CANCELLED,2022-01-27,2022-02-10,2023-02-10
33,33,Endorsement,2022-02-03,2022-02-03 09:00:00,JOB000033,PENDING,2022-01-27,2022-02-14,2023-02-14
34,34,Cancellation,2022-02-04,2022-02-04 09:00:00,JOB000034,IN_PROGRESS,2022-02-02,2022-02-15,2023-02-15
