policy_period_id,policy_id,job_id,term_number,effective_date,expiration_date,period_status,written_date,transaction_effective_date
1,1,1,1,2022-01-02,2023-01-02,ACTIVE,2021-12-22,2021-12-22
2,2,2,2,2022-01-03,2023-01-03,EXPIRED,2022-01-02,2022-01-07
3,3,3,3,2022-01-04,2023-01-04,CANCELLED,2021-12-30,2021-12-31
4,4,4,4,2022-01-05,2023-01-05,ENDED,2022-01-01,2022-01-02
5,5,5,5,2022-01-06,2023-01-06,ACTIVE,2021-12-25,2021-12-25
6,6,6,1,2022-01-07,2023-01-07,EXPIRED,2021-12-27,2022-01-01
7,7,7,2,2022-01-08,2023-01-08,CANCELLED,2021-12-24,2021-12-28
8,8,8,3,2022-01-09,2023-01-09,ENDED,2022-01-07,2022-01-11
9,9,9,4,2022-01-10,2023-01-10,ACTIVE,2022-01-03,2022-01-03
10,10,10,5,2022-01-11,2023-01-11,EXPIRED,2022-01-10,2022-01-10
11,11,11,1,2022-01-12,2023-01-12,CANCELLED,2022-01-08,2022-01-09
12,12,12,2,2022-01-13,2023-01-13,ENDED,2022-01-04,2022-01-08
13,13,13,3,2022-01-14,2023-01-14,ACTIVE,2022-01-13,2022-01-17
14,14,14,4,2022-01-15,2023-01-15,EXPIRED,2022-01-11,2022-01-16
15,15,15,5,2022-01-16,2023-01-16,CANCELLED,2022-01-05,2022-01-10
16,16,16,1,2022-01-17,2023-01-17,ENDED,2022-01-08,2022-01-11
17,17,17,2,2022-01-18,2023-01-18,ACTIVE,2022-01-14,2022-01-17
18,18,18,3,2022-01-19,2023-01-19,EXPIRED,2022-01-09,2022-01-11
19,19,19,4,2022-01-20,2023-01-20,CANCELLED,2022-01-07,2022-01-07
20,20,20,5,2022-01-21,2023-01-21,ENDED,2022-01-08,2022-01-09
21,21,21,1,2022-01-22,2023-01-22,ACTIVE,2022-01-10,2022-01-13
22,22,22,2,2022-01-23,2023-01-23,EXPIRED,2022-01-17,2022-01-19
23,23,23,3,2022-01-24,2023-01-24,CANCELLED,2022-01-21,2022-01-22
24,24,24,4,2022-01-25,2023-01-25,ENDED,2022-01-12,2022-01-14
