premium_id,policy_period_id,written_premium,earned_premium,unearned_premium,transaction_date,currency_code,commission_rate,commission_amount,operating_expense,as_of_date
1,1,97716.89,40430.94,57285.95,2022-01-02,INR,9.13,8921.55,4458.31,2022-01-25
2,2,19861.8,16035.77,3826.03,2022-01-03,USD,13.18,2617.79,1416.83,2022-01-04
3,3,9320.6,4849.05,4471.55,2022-01-04,INR,12.58,1172.53,296.93,2022-01-10
4,4,108822.84,85505.23,23317.61,2022-01-05,USD,11.29,12286.1,6686.58,2022-01-13
5,5,122367.42,49384.35,72983.07,2022-01-06,INR,17.09,20912.59,9651.09,2022-01-16
6,6,45291.34,23480.05,21811.29,2022-01-07,USD,16.45,7450.43,1682.79,2022-01-19
7,7,19023.87,16476.99,2546.88,2022-01-08,INR,14.06,2674.76,1645.55,2022-01-31
8,8,71616.61,33563.44,38053.17,2022-01-09,USD,18.83,13485.41,2543.54,2022-01-18
9,9,125263.68,92718.41,32545.27,2022-01-10,INR,17.93,22459.78,8820.4,2022-02-01
10,10,15085.5,11520.72,3564.78,2022-01-11,USD,16.6,2504.19,1492.94,2022-02-07
11,11,38754.68,17654.72,21099.96,2022-01-12,INR,9.17,3553.8,2887.14,2022-01-23
12,12,28584.84,17019.38,11565.46,2022-01-13,USD,15.05,4302.02,2261.84,2022-02-03
13,13,98965.13,72741.55,26223.58,2022-01-14,INR,7.57,7491.66,8020.02,2022-01-19
14,14,72027.73,39505.14,32522.59,2022-01-15,USD,18.88,13598.84,5630.5,2022-01-22
15,15,104269.07,90043.49,14225.58,2022-01-16,INR,16.64,17350.37,4799.86,2022-01-17
16,16,121731.64,75551.6,46180.04,2022-01-17,USD,5.99,7291.73,11432.98,2022-02-04
17,17,132073.31,75687.63,56385.68,2022-01-18,INR,14.83,19586.47,7619.87,2022-02-16
18,18,98213.52,47002.96,51210.56,2022-01-19,USD,7.09,6963.34,8068.16,2022-02-05
19,19,43097.53,31095.83,12001.7,2022-01-20,INR,18.47,7960.11,2497.85,2022-01-27
20,20,149612.24,71227.76,78384.48,2022-01-21,USD,12.4,18551.92,12403.57,2022-02-17
21,21,20899.12,15571.84,5327.28,2022-01-22,INR,16.88,3527.77,1244.57,2022-01-24
22,22,60791.26,44240.15,16551.11,2022-01-23,USD,12.02,7307.11,2893.6,2022-02-09
23,23,129813.06,52744.94,77068.12,2022-01-24,INR,15.81,20523.44,10089.04,2022-02-10
24,24,113877.28,93690.18,20187.1,2022-01-25,USD,10.1,11501.61,5755.93,2022-01-30
25,25,70789.94,65452.29,5337.65,2022-01-26,INR,18.14,12841.3,3428.87,2022-02-11
26,26,115484.52,78439.96,37044.56,2022-01-27,USD,6.6,7621.98,8519.41,2022-02-22
27,27,97647.68,71764.56,25883.12,2022-01-28,INR,7.29,7118.52,8141.45,2022-02-14
28,28,143257.46,129983.04,13274.42,2022-01-29,USD,18.78,26903.75,10303.95,2022-02-13
29,29,7824.13,7127.82,696.31,2022-01-30,INR,18.18,1422.43,690.22,2022-02-08
