producer_id,producer_code,producer_name,commission_rate,producer_type,state_code,producer_status,created_date
1,PRD000001,Prime Insurance,10.49,AGENCY,TN,ACTIVE,2021-01-02
2,PRD000002,Secure Insurance,2.81,BROKER,KA,INACTIVE,2021-01-03
3,PRD000003,Elite Insurance,5.94,AGENT,MH,SUSPENDED,2021-01-04
4,PRD000004,Trusted Insurance,5.29,INDIVIDUAL,AP,TERMINATED,2021-01-05
5,PRD000005,Global Insurance,11.71,AGENCY,TS,ACTIVE,2021-01-06
6,PRD000006,Royal Insurance,10.96,BROKER,KL,INACTIVE,2021-01-07
7,PRD000007,United Insurance,13.65,AGENT,DL,SUSPENDED,2021-01-08
8,PRD000008,Pioneer Insurance,3.59,INDIVIDUAL,GJ,TERMINATED,2021-01-09
9,PRD000009,Smart Insurance,7.77,AGENCY,RJ,ACTIVE,2021-01-10
10,PRD000010,Apex Insurance,2.87,BROKER,WB,INACTIVE,2021-01-11
11,PRD000011,Blue Insurance,5.23,AGENT,TN,SUSPENDED,2021-01-12
12,PRD000012,Golden Insurance,8.82,INDIVIDUAL,KA,TERMINATED,2021-01-13
13,PRD000013,Future Insurance,2.83,AGENCY,MH,ACTIVE,2021-01-14
14,PRD000014,Vertex Insurance,4.99,BROKER,AP,INACTIVE,2021-01-15
15,PRD000015,Summit Insurance,10.62,AGENT,TS,SUSPENDED,2021-01-16
16,PRD000016,Shield Insurance,9.31,INDIVIDUAL,KL,TERMINATED,2021-01-17
17,PRD000017,Crystal Insurance,5.26,AGENCY,DL,ACTIVE,2021-01-18
18,PRD000018,Infinity Insurance,9.87,BROKER,GJ,INACTIVE,2021-01-19
19,PRD000019,Vision Insurance,12.62,AGENT,RJ,SUSPENDED,2021-01-20
20,PRD000020,First Insurance,2.58,INDIVIDUAL,WB,TERMINATED,2021-01-21
21,PRD000021,Prime Brokers,12.57,AGENCY,TN,ACTIVE,2021-01-22
22,PRD000022,Secure Brokers,11.23,BROKER,KA,INACTIVE,2021-01-23
23,PRD000023,Elite Brokers,6.75,AGENT,MH,SUSPENDED,2021-01-24
24,PRD000024,Trusted Brokers,4.44,INDIVIDUAL,AP,TERMINATED,2021-01-25
25,PRD000025,Global Brokers,14.47,AGENCY,TS,ACTIVE,2021-01-26
26,PRD000026,Royal Brokers,6.71,BROKER,KL,INACTIVE,2021-01-27
27,PRD000027,United Brokers,3.66,AGENT,DL,SUSPENDED,2021-01-28
28,PRD000028,Pioneer Brokers,3.71,INDIVIDUAL,GJ,TERMINATED,2021-01-29
29,PRD000029,Smart Brokers,13.09,AGENCY,RJ,ACTIVE,2021-01-30
30,PRD000030,Apex Brokers,10.05,BROKER,WB,INACTIVE,2021-01-31
31,PRD000031,Blue Brokers,12.59,AGENT,TN,SUSPENDED,2021-02-01
32,PRD000032,Golden Brokers,11.62,INDIVIDUAL,KA,TERMINATED,2021-02-02
33,PRD000033,Future Brokers,9.2,AGENCY,MH,ACTIVE,2021-02-03
34,PRD000034,Vertex Brokers,14.66,BROKER,AP,INACTIVE,2021-02-04
